签到超时,签退超时,打卡时间,处理规则
超时小于有效签到,超时大于有效签退,最小范围内,迟到/早退
超时小于有效签到,超时大于有效签退,最小范围内,缺勤
超时小于有效签到,超时大于有效签退,最大范围内（最小范围外）,迟到/早退
超时小于有效签到,超时大于有效签退,最大范围内（最小范围外）,缺勤
超时小于有效签到,超时大于有效签退,最大范围外,迟到/早退
超时小于有效签到,超时大于有效签退,最大范围外,缺勤
超时小于有效签到,超时小于有效签退,最小范围内,迟到/早退
超时小于有效签到,超时小于有效签退,最小范围内,缺勤
超时小于有效签到,超时小于有效签退,最大范围内（最小范围外）,迟到/早退
超时小于有效签到,超时小于有效签退,最大范围内（最小范围外）,缺勤
超时小于有效签到,超时小于有效签退,最大范围外,迟到/早退
超时小于有效签到,超时小于有效签退,最大范围外,缺勤
超时大于有效签到,超时大于有效签退,最小范围内,迟到/早退
超时大于有效签到,超时大于有效签退,最小范围内,缺勤
超时大于有效签到,超时大于有效签退,最大范围内（最小范围外）,迟到/早退
超时大于有效签到,超时大于有效签退,最大范围内（最小范围外）,缺勤
超时大于有效签到,超时大于有效签退,最大范围外,迟到/早退
超时大于有效签到,超时大于有效签退,最大范围外,缺勤
超时大于有效签到,超时小于有效签退,最小范围内,迟到/早退
超时大于有效签到,超时小于有效签退,最小范围内,缺勤
超时大于有效签到,超时小于有效签退,最大范围内（最小范围外）,迟到/早退
超时大于有效签到,超时小于有效签退,最大范围内（最小范围外）,缺勤
超时大于有效签到,超时小于有效签退,最大范围外,迟到/早退
超时大于有效签到,超时小于有效签退,最大范围外,缺勤
